symbol,net_profitability_results_error_message,simulation_results_error_message,simulation_results_decision_outcome
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTC/USDT,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONT/USDT,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONT/USDT,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTC/USDT,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZEC/USDT,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZEC/USDT,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONG/USDT,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BNB/USDT,V2: BNB/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BNB/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTT/USDT,V2: BTT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XLM/USDT,V2: XLM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XLM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZEC/USDT,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTT/USDT,V2: BTT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XRP/USDT,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONG/USDT,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTC/USDT,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONG/USDT,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XRP/USDT,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CELR/USDT,V2: CELR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CELR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZEC/USDT,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONG/USDT,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONG/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XRP/USDT,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XLM/USDT,V2: XLM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XLM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XRP/USDT,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONT/USDT,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
IOST/USDT,V2: IOST/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: IOST/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZRX/USDT,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTC/USDT,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
TRX/USDT,V2: TRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: TRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONT/USDT,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
IOST/USDT,V2: IOST/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: IOST/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZRX/USDT,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTC/USDT,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
TRX/USDT,V2: TRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: TRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CHR/USDT,V2: CHR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CHR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XRP/USDT,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZIL/USDT,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DASH/USDT,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ALGO/USDT,V2: ALGO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ALGO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DASH/USDT,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZRX/USDT,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CHR/USDT,V2: CHR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CHR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BAT/USDT,V2: BAT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BAT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONT/USDT,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ALGO/USDT,V2: ALGO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ALGO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XRP/USDT,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XRP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DASH/USDT,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZRX/USDT,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZRX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FET/USDT,V2: FET/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FET/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POL/USDT,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ALGO/USDT,V2: ALGO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ALGO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XEM/USDT,V2: XEM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XEM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZIL/USDT,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
IOST/USDT,V2: IOST/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: IOST/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POL/USDT,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CHR/USDT,V2: CHR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CHR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BAT/USDT,V2: BAT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BAT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XEM/USDT,V2: XEM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XEM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZIL/USDT,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DASH/USDT,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DASH/USDT,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DASH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LINK/USDT,V2: LINK/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LINK/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BAT/USDT,V2: BAT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BAT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
XEM/USDT,V2: XEM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: XEM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
RUNE/USDT,V2: RUNE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: RUNE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZIL/USDT,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZIL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LINK/USDT,V2: LINK/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LINK/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
